Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PTS,Pace
Boston Celtics*,82,240.3,34.7,78.2,0.443,6.7,19.5,0.346,27.9,58.7,0.475,19.2,25.5,0.75,95.3,93.2
Cleveland Cavaliers,82,242.1,35.6,82.4,0.433,3,9.6,0.314,32.6,72.8,0.448,18.6,24.8,0.753,92.9,90.8
Dallas Mavericks*,82,241.5,40.5,88.2,0.459,6.2,17.8,0.348,34.3,70.4,0.488,18,22.6,0.796,105.2,93.2
Denver Nuggets*,82,240.6,36.5,82.5,0.443,4,12,0.336,32.5,70.5,0.461,20.2,26.3,0.767,97.2,93.3
Detroit Pistons*,82,241.2,33.5,77,0.435,4.1,11.8,0.344,29.4,65.2,0.452,19,25.3,0.753,90.1,87.9
Houston Rockets*,82,243,33.4,75.5,0.442,6.3,17.1,0.366,27.1,58.4,0.464,16.7,21.6,0.773,89.8,87.8
Indiana Pacers*,82,241.5,33.6,77.1,0.435,5.5,15.6,0.351,28.1,61.5,0.457,18.8,24.6,0.764,91.4,87.5
Los Angeles Lakers*,82,242.1,36.9,81.4,0.454,4.5,13.6,0.327,32.5,67.8,0.479,19.9,28.7,0.693,98.2,92.3
Memphis Grizzlies*,82,242.4,36.1,81.2,0.445,5.5,16,0.34,30.7,65.2,0.471,19,26.1,0.727,96.7,91.4
Miami Heat*,82,240.9,33.3,78.3,0.425,5.9,16.5,0.357,27.4,61.7,0.443,17.8,23.4,0.762,90.3,88
Milwaukee Bucks*,82,241.2,36.2,81.1,0.447,4.9,14,0.35,31.3,67.1,0.467,20.7,26.7,0.775,98,91.6
Minnesota Timberwolves*,82,240.9,37,80.1,0.462,4,10.9,0.363,33,69.2,0.477,16.6,21.3,0.781,94.5,89
New Jersey Nets*,82,240.3,34.3,77.7,0.441,4.6,13.7,0.336,29.7,64,0.464,17,22.6,0.753,90.3,89.4
New Orleans Hornets*,82,241.8,33.8,80.5,0.42,6.5,20.3,0.319,27.3,60.2,0.454,17.7,23.6,0.751,91.8,89.1
New York Knicks*,82,242.4,35.1,79.4,0.442,5,13.6,0.364,30.2,65.8,0.459,16.8,21.1,0.793,92,89.5
Portland Trail Blazers,82,243.7,35.3,78.9,0.448,4.6,13.4,0.346,30.7,65.4,0.469,15.4,21.1,0.731,90.7,86.2
Sacramento Kings*,82,241.2,37.8,81.8,0.462,7.3,18.3,0.401,30.5,63.6,0.48,19.8,24.9,0.795,102.8,92.8
San Antonio Spurs*,82,240.9,34.7,78.5,0.442,5,13.9,0.358,29.7,64.6,0.46,17.2,25.2,0.681,91.5,89.2
Toronto Raptors,82,243.7,32.4,77.4,0.418,5.6,15.8,0.356,26.7,61.6,0.434,15.1,20.1,0.75,85.4,86.8
Utah Jazz,82,241.2,32.8,75.3,0.436,3.1,9.6,0.321,29.7,65.7,0.453,20,26.8,0.746,88.7,86.6
