Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PTS,Pace
Atlanta Hawks 13/14,82,37.3,81.6,0.458,9.4,25.8,0.363,28,55.8,0.502,17,21.7,0.781,101,94.6
Brooklyn Nets 13/14,82,35.7,77.9,0.459,8.6,23.4,0.369,27.1,54.5,0.497,18.4,24.4,0.753,98.5,91.4
Charlotte Bobcats 13/14,82,36.3,82.1,0.442,6.3,17.9,0.351,30,64.1,0.468,18,24.4,0.737,96.9,92.4
Chicago Bulls* 13/14,82,34.7,80.2,0.432,6.2,17.8,0.348,28.5,62.4,0.456,18.1,23.3,0.779,93.7,90.2
Cleveland Cavaliers 13/14,82,37,84.8,0.437,7.1,20,0.356,29.9,64.8,0.461,17,22.7,0.751,98.2,93.1
Dallas Mavericks 13/14,82,39.6,83.6,0.474,8.8,22.9,0.384,30.8,60.7,0.508,16.8,21.1,0.795,104.8,93.5
Golden State Warriors 13/14,82,39.5,85.4,0.462,9.4,24.8,0.38,30,60.6,0.496,15.9,21.1,0.753,104.3,96.2
Houston Rockets 13/14,82,38,80.5,0.472,9.5,26.6,0.358,28.5,54,0.529,22.1,31.1,0.712,107.7,96.3
Indiana Pacers* 13/14,82,36,80.2,0.449,6.7,18.8,0.357,29.3,61.4,0.477,18.1,23.3,0.779,96.7,92.5
Los Angeles Clippers 13/14,82,39.1,82.5,0.474,8.5,24,0.352,30.7,58.5,0.525,21.2,29.1,0.73,107.9,95.9
Memphis Grizzlies* 13/14,82,38.1,82,0.464,4.9,14,0.353,33.1,68,0.487,15.1,20.3,0.741,96.1,89.9
Miami Heat 13/14,82,38.3,76.5,0.501,8.1,22.3,0.364,30.2,54.2,0.558,17.5,23,0.76,102.2,91.2
Minnesota Timberwolves 13/14,82,38.9,87.5,0.444,7.3,21.4,0.341,31.6,66.1,0.478,21.8,28.1,0.778,106.9,97.3
New York Knicks 13/14,82,36.9,82.2,0.449,9.3,24.9,0.372,27.7,57.3,0.482,15.5,20.4,0.761,98.6,90.3
Oklahoma City Thunder 13/14,82,39,82.7,0.471,8.1,22.4,0.361,30.9,60.3,0.512,20.2,25,0.806,106.2,95.4
Phoenix Suns 13/14,82,38.7,83.5,0.463,9.3,25.1,0.372,29.4,58.4,0.503,18.5,24.4,0.758,105.2,95.8
Portland Trail Blazers 13/14,82,39.1,87,0.45,9.4,25.3,0.372,29.7,61.7,0.481,19.1,23.5,0.815,106.7,94.9
San Antonio Spurs 13/14,82,40.6,83.5,0.486,8.5,21.4,0.397,32,62,0.517,15.7,20,0.785,105.4,95
Toronto Raptors 13/14,82,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,101.3,91.8
Washington Wizards 13/14,82,38.7,84.4,0.459,7.9,20.8,0.38,30.9,63.6,0.485,15.3,20.9,0.731,100.7,93.2
